[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5341s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7959s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5911s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2867s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5285s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2972s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4296s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.3787s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5638s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2925s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4574s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2734s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5536s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2933s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4034s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2685s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4834s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2830s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.3978s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.3648s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4312s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2745s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4351s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.2510s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.2504s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/candidates | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.2503s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.9453s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.9417s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/candidates | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.9412s
[OPTIONS] /api/v1/jobs | Auth: No | Status: 200 | Time: 0.0004s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4881s
[OPTIONS] /api/v1/jobs | Auth: No | Status: 200 | Time: 0.0001s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4148s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5726s
[OPTIONS] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: No | Status: 200 | Time: 0.0002s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2734s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4445s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4114s
[OPTIONS] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460 | Auth: No | Status: 200 | Time: 0.0007s
[PATCH] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460 | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.0894s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.0821s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4188s
[OPTIONS] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/scan-and-publish | Auth: No | Status: 200 | Time: 0.0010s
[POST] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/scan-and-publish | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5157s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7417s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7429s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7965s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7993s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4350s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2699s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.0563s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4585s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2932s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5430s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2885s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4388s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.3151s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4096s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2747s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5541s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2884s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4289s
[GET] /api/v1/jobs/0831cd2b-9e52-45d2-92a8-2c453625e460/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.3907s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5905s
[OPTIONS] /api/v1/jobs | Auth: No | Status: 200 | Time: 0.0007s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7495s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5352s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4333s
[OPTIONS] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: No | Status: 200 | Time: 0.0005s
[OPTIONS] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/candidates | Auth: No | Status: 200 | Time: 0.0005s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6786s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/candidates | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6783s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5433s
[OPTIONS] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f | Auth: No | Status: 200 | Time: 0.0003s
[PATCH] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6724s
[OPTIONS] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/scan-and-publish | Auth: No | Status: 200 | Time: 0.0002s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.9651s
[POST] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/scan-and-publish | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.9610s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6791s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6827s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.9887s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.9883s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4099s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4118s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2757s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4064s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7118s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.3083s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.1830s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4111s
[OPTIONS] /api/v1/jobs | Auth: No | Status: 200 | Time: 0.0002s
[OPTIONS] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: No | Status: 200 | Time: 0.0002s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.8269s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7913s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.9716s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.9774s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.9166s
[OPTIONS] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: No | Status: 200 | Time: 0.0011s
[GET] /api/v1/jobs/cf6a7e42-9c75-4a23-93bf-6588594d2e1f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7761s
[OPTIONS] /api/v1/jobs | Auth: No | Status: 200 | Time: 0.0005s
[OPTIONS] /api/v1/jobs | Auth: No | Status: 200 | Time: 0.0002s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5273s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5016s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5047s
[OPTIONS] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f/skills | Auth: No | Status: 200 | Time: 0.0008s
[OPTIONS] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f/candidates | Auth: No | Status: 200 | Time: 0.0009s
[GET] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6741s
[GET] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f/candidates | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6731s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4214s
[OPTIONS] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f | Auth: No | Status: 200 | Time: 0.0002s
[PATCH] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6953s
[OPTIONS] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f/scan-and-publish | Auth: No | Status: 200 | Time: 0.0007s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.9504s
[POST] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f/scan-and-publish | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.9429s
[GET] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2877s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7961s
[GET] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7882s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4360s
[GET] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2997s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4420s
[GET] /api/v1/jobs/96062b43-7aba-4567-a302-f978bb1ae96f/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4125s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6489s
[OPTIONS] /api/v1/jobs | Auth: No | Status: 200 | Time: 0.0004s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4275s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4497s
[OPTIONS] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/skills | Auth: No | Status: 200 | Time: 0.0010s
[OPTIONS] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/candidates | Auth: No | Status: 200 | Time: 0.0010s
[GET] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5802s
[GET] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/candidates | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5794s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4503s
[OPTIONS] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7 | Auth: No | Status: 200 | Time: 0.0002s
[PATCH] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7 | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7291s
[GET] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.2844s
[OPTIONS] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/scan-and-publish | Auth: No | Status: 200 | Time: 0.0031s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.1695s
[POST] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/scan-and-publish | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.8852s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7782s
[GET] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7780s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7148s
[GET] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7138s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7151s
[GET] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7148s
[GET] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7139s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7160s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.2245s
[GET] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.2201s
[GET] /api/v1/jobs/4a700bce-c916-4e65-9f42-3549d16d71e7/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.1472s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.1463s
